MagpieData avg_dev Column,MagpieData minimum MeltingT,MagpieData avg_dev NdValence,MagpieData avg_dev NsValence,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean NUnfilled,MagpieData mean SpaceGroupNumber,MagpieData minimum NUnfilled,MagpieData avg_dev GSmagmom,MagpieData avg_dev NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mean Number,MagpieData minimum NValence,MagpieData mode NValence,V0
3.4,923.0,3.504444444444444,0.0,73.0,54.5,2.9333333333333336,214.66666666666663,0.0,0.2765277606666667,2.077777777777778,13.77777777777778,1799.0,1518.582333333333,28.466666666666665,2.0,10.0,333
1.0528,923.0,0.0197999999999999,0.0,73.0,67.69,0.34,195.55,0.0,0.0,0.1782,2.94500000000001,1799.0,932.2835,12.32,2.0,2.0,613
2.360460069444444,1071.0,2.360460069444444,0.0,61.0,50.60069444444444,3.6875,218.29166666666669,2.0,0.216927036646911,2.360460069444444,10.202256944444436,1799.0,1692.90625,31.45833333333333,3.0,10.0,298
3.3984375,923.0,3.3984375,0.0,68.0,62.3125,1.1874999999999998,203.6875,0.0,0.25583366015625,1.484375,13.320312499999988,1799.0,1229.3125,18.6875,2.0,2.0,633
2.4977777777777783,923.0,2.497777777777778,0.0,68.0,54.22222222222222,2.964444444444444,215.35555555555555,0.0,0.2434678567901234,1.7767506172839505,13.287901234567904,1768.0,1592.2666666666669,30.95555555555556,2.0,10.0,348
1.0738,923.0,0.0768,0.0,73.0,66.01,0.61,195.55,0.0,0.0,0.6912,2.94500000000001,1799.0,958.5635,13.13,2.0,2.0,633
2.5372839506172844,923.0,2.5372839506172844,0.0,68.0,54.48888888888889,2.875555555555556,218.11111111111111,0.0,0.2058154518518519,1.796503703703704,10.716049382716047,1728.0,1588.711111111111,31.04444444444444,2.0,10.0,298
0.8100000000000002,923.0,0.81,0.0,68.0,64.85,0.55,195.55,0.0,0.0565624965,0.99,2.94500000000001,1799.0,1007.05,14.15,2.0,2.0,613
2.202646502835538,1519.0,2.202646502835538,0.0,61.0,48.49565217391304,5.939130434782608,209.17391304347825,2.0,0.773404058494231,2.202646502835538,15.833648393194704,2128.0,1847.034782608696,25.313043478260862,3.0,4.0,363
2.1860113421550094,1519.0,2.1860113421550094,0.0,61.0,49.03478260869565,5.921739130434783,209.17391304347825,2.0,0.7734038540329834,2.1860113421550094,15.833648393194704,2128.0,1849.504347826087,25.01739130434782,3.0,4.0,323
1.44,923.0,1.44,0.0,68.0,61.8,1.1,197.1,0.0,0.107171046,1.76,5.579999999999996,1728.0,1030.5,18.1,2.0,2.0,633
3.4,1193.0,3.4,0.0,61.0,36.68,5.6,206.4,2.0,0.393005,3.4,14.88,1799.0,1476.62,42.04,3.0,3.0,313
